Poke Ball,1,0.2
Great Ball,1,0.4
Master Ball,1,1
Ultra Ball,1,0.8
Town Map,3,TBA
Bicycle,3,TBA
Safari Ball,1,0.8
Pokedex,3,TBA
Moon Stone,2,4
Antidote,0,S0
Burn Heal,0,S1
Ice Heal,0,S2
Awakening,0,S3
Parlyz Heal,0,S4
Full Restore,0,F
Max Potion,0,H
Hyper Potion,0,H200
Super Potion,0,H50
Potion,0,H20
Boulder Badge,3,TBA
Cascade Badg,3,TBA
Thunder Badge,3,TBA
Rainbow Badge,3,TBA
Soul Badge,3,TBA
Marsh Badge,3,TBA
Volcano Badge,3,TBA
Earth Badge,3,TBA
Escape Rope,5,TBA
Repel,5,TBA
Old Amber,4,TBA
Fire Stone,2,TBA
Thunderstone,2,TBA
Water Stone,2,TBA
HP Up,0,TBA
Protein,4,TBA
Iron,4,TBA
Carbos,4,TBA
Calcium,4,TBA
Rare Candy,7,TBA
Dome Fossil,3,TBA
Helix Fossil,3,TBA
Secret Key,3,TBA
Bike Voucher,3,TBA
X Accuracy,4,TBA
Leaf Stone,2,TBA
Card Key,3,TBA
Nugget,7,TBA
PP Up,0,TBA
Poke Doll,4,TBA
Full Heal,0,S
Revive,0,R0.5
Max Revive,0,R
Guard Spec,4,TBA
Super Repel,5,TBA
Max Repel,5,TBA
Dire Hit,4,TBA
Coin,7,TBA
Fresh Water,0,H50
Soda Pop,0,H60
Lemonade,0,H80
S.S Ticket,3,TBA
Gold Teeth,7,TBA
X Attack,4,TBA
X Defend,4,TBA
X Speed,4,TBA
X Special,4,TBA
Coin Case,3,TBA
Oak's Parcel,3,TBA
Itemfinder,3,TBA
Sliph Scope,3,TBA
Poke Fluit,3,TBA
Lift Key,3,TBA
Exp All,7,TBA
Old Rod,3,TBA
Good Rod,3,TBA
Super Rod,3,TBA
PP Up,0,TBA
Ether,0,P10
Max Ether,0,E10
Elixer,0,E10
Max Elixer,0,E
HM01,6,TBA
HM02,6,TBA
HM03,6,TBA
HM04,6,TBA
HM05,6,TBA
TM01,6,TBA
TM02,6,TBA
TM03,6,TBA
TM04,6,TBA
TM05,6,TBA
TM06,6,TBA
TM07,6,TBA
TM08,6,TBA
TM09,6,TBA
TM10,6,TBA
TM11,6,TBA
TM12,6,TBA
TM13,6,TBA
TM14,6,TBA
TM15,6,TBA
TM16,6,TBA
TM17,6,TBA
TM18,6,TBA
TM19,6,TBA
TM20,6,TBA
TM21,6,TBA
TM22,6,TBA
TM23,6,TBA
TM24,6,TBA
TM25,6,TBA
TM26,6,TBA
TM27,6,TBA
TM28,6,TBA
TM29,6,TBA
TM30,6,TBA
TM31,6,TBA
TM32,6,TBA
TM33,6,TBA
TM34,6,TBA
TM35,6,TBA
TM36,6,TBA
TM37,6,TBA
TM38,6,TBA
TM39,6,TBA
TM40,6,TBA
TM41,6,TBA
TM42,6,TBA
TM43,6,TBA
TM44,6,TBA
TM45,6,TBA
TM46,6,TBA
TM47,6,TBA
TM48,6,TBA
TM49,6,TBA
TM50,6,TBA
TM51,6,TBA
TM52,6,TBA
TM53,6,TBA
TM54,6,TBA
TM55,6,TBA
